observation_date,UNRATE
01/01/1948,3.4
01/02/1948,3.8
01/03/1948,4
01/04/1948,3.9
01/05/1948,3.5
01/06/1948,3.6
01/07/1948,3.6
01/08/1948,3.9
01/09/1948,3.8
01/10/1948,3.7
01/11/1948,3.8
01/12/1948,4
01/01/1949,4.3
01/02/1949,4.7
01/03/1949,5
01/04/1949,5.3
01/05/1949,6.1
01/06/1949,6.2
01/07/1949,6.7
01/08/1949,6.8
01/09/1949,6.6
01/10/1949,7.9
01/11/1949,6.4
01/12/1949,6.6
01/01/1950,6.5
01/02/1950,6.4
01/03/1950,6.3
01/04/1950,5.8
01/05/1950,5.5
01/06/1950,5.4
01/07/1950,5
01/08/1950,4.5
01/09/1950,4.4
01/10/1950,4.2
01/11/1950,4.2
01/12/1950,4.3
01/01/1951,3.7
01/02/1951,3.4
01/03/1951,3.4
01/04/1951,3.1
01/05/1951,3
01/06/1951,3.2
01/07/1951,3.1
01/08/1951,3.1
01/09/1951,3.3
01/10/1951,3.5
01/11/1951,3.5
01/12/1951,3.1
01/01/1952,3.2
01/02/1952,3.1
01/03/1952,2.9
01/04/1952,2.9
01/05/1952,3
01/06/1952,3
01/07/1952,3.2
01/08/1952,3.4
01/09/1952,3.1
01/10/1952,3
01/11/1952,2.8
01/12/1952,2.7
01/01/1953,2.9
01/02/1953,2.6
01/03/1953,2.6
01/04/1953,2.7
01/05/1953,2.5
01/06/1953,2.5
01/07/1953,2.6
01/08/1953,2.7
01/09/1953,2.9
01/10/1953,3.1
01/11/1953,3.5
01/12/1953,4.5
01/01/1954,4.9
01/02/1954,5.2
01/03/1954,5.7
01/04/1954,5.9
01/05/1954,5.9
01/06/1954,5.6
01/07/1954,5.8
01/08/1954,6
01/09/1954,6.1
01/10/1954,5.7
01/11/1954,5.3
01/12/1954,5
01/01/1955,4.9
01/02/1955,4.7
01/03/1955,4.6
01/04/1955,4.7
01/05/1955,4.3
01/06/1955,4.2
01/07/1955,4
01/08/1955,4.2
01/09/1955,4.1
01/10/1955,4.3
01/11/1955,4.2
01/12/1955,4.2
01/01/1956,4
01/02/1956,3.9
01/03/1956,4.2
01/04/1956,4
01/05/1956,4.3
01/06/1956,4.3
01/07/1956,4.4
01/08/1956,4.1
01/09/1956,3.9
01/10/1956,3.9
01/11/1956,4.3
01/12/1956,4.2
01/01/1957,4.2
01/02/1957,3.9
01/03/1957,3.7
01/04/1957,3.9
01/05/1957,4.1
01/06/1957,4.3
01/07/1957,4.2
01/08/1957,4.1
01/09/1957,4.4
01/10/1957,4.5
01/11/1957,5.1
01/12/1957,5.2
01/01/1958,5.8
01/02/1958,6.4
01/03/1958,6.7
01/04/1958,7.4
01/05/1958,7.4
01/06/1958,7.3
01/07/1958,7.5
01/08/1958,7.4
01/09/1958,7.1
01/10/1958,6.7
01/11/1958,6.2
01/12/1958,6.2
01/01/1959,6
01/02/1959,5.9
01/03/1959,5.6
01/04/1959,5.2
01/05/1959,5.1
01/06/1959,5
01/07/1959,5.1
01/08/1959,5.2
01/09/1959,5.5
01/10/1959,5.7
01/11/1959,5.8
01/12/1959,5.3
01/01/1960,5.2
