Num Users,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Jan,688.7495449,414.2479147,379.3113436,341.8793031,346.8702418,361.843058,344.3747724,349.3657112,346.8702418,339.3838337,341.8793031,336.8883643
Feb,,5594.842318,3039.481687,2632.720181,2565.342508,2408.127938,2365.704959,2318.291041,2108.671614,2166.067409,2051.275818,2026.321125
Mar,,,20041.11447,11037.461,9872.07681,9467.810773,8806.511391,8681.737923,8025.42948,7788.35989,7503.876382,7057.187366
Apr,,,,30277.52981,15831.25766,14448.76763,13350.76111,12587.14748,11855.97496,11179.70276,10987.55162,9999.345748
May,,,,,35630.3116,16924.27324,14768.18771,13839.8731,12966.45882,12260.24099,12117.99924,11082.37945
Jun,,,,,,47488.78203,21653.18768,18920.64873,17141.37907,15806.30296,15654.07933,14101.89738
Jul,,,,,,,78425.11575,34774.36561,29399.1246,26072.66393,25229.19529,23015.71396
Aug,,,,,,,,109116.8935,43171.62002,35335.84622,33469.23513,30534.56316
Sep,,,,,,,,,116186.5582,40401.64903,35153.67695,31602.62405
Oct,,,,,,,,,,117184.7459,34462.43194,29054.74982
Nov,,,,,,,,,,,107597.1526,32920.23187
Dec,,,,,,,,,,,,97163.59522
